Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,76.4,40.0,0.0,3,6280,74.5,75.4,77.8,77.5,89.5,
1,121.3,142.6,80.0,0.0,5,7560,78.2,79.1,81.5,81.2,89.3,
1,282.4,194.8,89.0,0.0,6,8050,81.4,82.3,84.7,84.4,89.1,
1,521.6,258.9,100.0,0.0,7,8380,84.1,85.0,87.4,87.1,88.8,
1,758.7,140.7,0.0,75.0,4,3420,86.6,87.5,89.9,89.6,88.7,
1,860.9,94.2,24.0,0.0,2,4720,87.9,88.8,91.2,90.9,88.6,
1,960.8,150.4,67.0,0.0,4,6840,89.1,90.0,92.4,92.1,88.5,
1,1161.5,212.8,91.0,0.0,6,8140,90.2,91.1,93.5,93.2,88.3,
1,1360.4,176.5,0.0,68.0,5,5160,91.5,92.4,94.8,94.5,88.2,
1,1512.9,241.7,94.0,0.0,6,8250,92.3,93.2,95.6,95.3,88.0,131.38
2,0.0,79.8,42.0,0.0,3,6320,93.0,93.9,96.3,96.0,87.8,
2,121.3,145.8,81.0,0.0,5,7600,93.4,94.3,96.7,96.4,87.6,
2,282.4,197.6,90.0,0.0,6,8100,93.8,94.7,97.1,96.8,87.4,
2,521.6,261.8,100.0,0.0,7,8410,94.2,95.1,97.5,97.2,87.1,
2,758.7,143.9,0.0,73.0,4,3480,94.6,95.5,97.9,97.6,87.0,
2,860.9,96.5,25.0,0.0,2,4780,95.0,95.9,98.3,98.0,86.9,
2,960.8,152.6,68.0,0.0,4,6880,95.3,96.2,98.6,98.3,86.8,
2,1161.5,215.0,92.0,0.0,6,8170,95.7,96.6,99.0,98.7,86.6,
2,1360.4,179.2,0.0,66.0,5,5190,96.1,97.0,99.4,99.1,86.5,
2,1512.9,244.6,95.0,0.0,6,8280,96.5,97.4,99.8,99.5,86.3,129.74
3,0.0,82.1,43.0,0.0,3,6360,96.8,97.7,100.1,99.8,86.1,
3,121.3,148.1,82.0,0.0,5,7630,97.1,98.0,100.4,100.1,85.9,
3,282.4,200.4,91.0,0.0,6,8140,97.4,98.3,100.7,100.4,85.7,
3,521.6,264.1,100.0,0.0,7,8440,97.7,98.6,101.0,100.7,85.4,
3,758.7,146.8,0.0,72.0,4,3510,98.0,98.9,101.3,101.0,85.3,
3,860.9,98.1,26.0,0.0,2,4810,98.3,99.2,101.6,101.3,85.2,
3,960.8,154.9,69.0,0.0,4,6910,98.6,99.5,101.9,101.6,85.1,
3,1161.5,217.3,93.0,0.0,6,8190,98.9,99.8,102.2,101.9,84.9,
3,1360.4,181.0,0.0,65.0,5,5210,99.2,100.1,102.5,102.2,84.8,
3,1512.9,247.0,96.0,0.0,6,8300,99.5,100.4,102.8,102.5,84.6,128.91
