Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,77.8,41.0,0.0,3,6350,74.8,75.7,78.0,77.8,89.1,
1,120.5,144.9,81.0,0.0,5,7650,78.7,79.6,82.0,81.8,88.9,
1,280.3,197.5,89.0,0.0,6,8100,82.0,82.9,85.3,85.0,88.7,
1,520.8,263.8,100.0,0.0,7,8420,84.8,85.7,88.1,87.8,88.4,
1,750.2,141.5,0.0,74.0,4,3450,87.3,88.2,90.6,90.3,88.3,
1,850.5,95.1,24.0,0.0,2,4750,88.7,89.6,92.0,91.7,88.2,
1,950.3,151.7,67.0,0.0,4,6880,90.0,90.9,93.3,93.0,88.1,
1,1150.7,214.9,91.0,0.0,6,8180,91.1,92.0,94.4,94.1,87.9,
1,1350.2,177.6,0.0,67.0,5,5180,92.4,93.3,95.7,95.4,87.8,
1,1500.8,244.8,94.0,0.0,6,8280,93.2,94.1,96.5,96.2,87.6,132.58
2,0.0,81.5,43.0,0.0,3,6400,94.0,94.9,97.3,97.0,87.4,
2,120.5,148.6,82.0,0.0,5,7700,94.4,95.3,97.7,97.4,87.2,
2,280.3,201.4,90.0,0.0,6,8140,94.9,95.8,98.2,97.9,87.0,
2,520.8,267.9,100.0,0.0,7,8450,95.3,96.2,98.6,98.3,86.7,
2,750.2,144.5,0.0,72.0,4,3550,95.8,96.7,99.1,98.8,86.6,
2,850.5,97.8,26.0,0.0,2,4850,96.2,97.1,99.5,99.2,86.5,
2,950.3,155.1,69.0,0.0,4,6980,96.5,97.4,99.8,99.5,86.4,
2,1150.7,218.6,92.0,0.0,6,8210,96.9,97.8,100.2,99.9,86.2,
2,1350.2,181.0,0.0,65.0,5,5280,97.3,98.2,100.6,100.3,86.1,
2,1500.8,247.8,95.0,0.0,6,8320,97.7,98.6,101.0,100.7,85.9,130.94
3,0.0,83.9,44.0,0.0,3,6430,98.0,98.9,101.3,101.0,85.7,
3,120.5,151.1,83.0,0.0,5,7730,98.3,99.2,101.6,101.3,85.5,
3,280.3,204.0,91.0,0.0,6,8180,98.6,99.5,101.9,101.6,85.3,
3,520.8,270.5,100.0,0.0,7,8480,98.9,99.8,102.2,101.9,85.0,
3,750.2,147.2,0.0,71.0,4,3620,99.2,100.1,102.5,102.2,84.9,
3,850.5,99.5,27.0,0.0,2,4920,99.5,100.4,102.8,102.5,84.8,
3,950.3,157.6,70.0,0.0,4,7030,99.8,100.7,103.1,102.8,84.7,
3,1150.7,221.0,93.0,0.0,6,8240,100.1,101.0,103.4,103.1,84.5,
3,1350.2,183.5,0.0,64.0,5,5330,100.4,101.3,103.7,103.4,84.4,
3,1500.8,250.6,96.0,0.0,6,8340,100.7,101.6,104.0,103.7,84.2,129.81
