Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,74.8,38.0,0.0,3,6200,74.5,75.5,78.0,77.8,89.6,
1,110.3,141.5,79.0,0.0,5,7550,77.0,78.0,80.5,80.3,89.4,
1,290.6,244.0,93.0,0.0,6,8200,79.4,80.4,82.9,82.7,89.2,
1,480.2,112.6,0.0,82.0,3,3950,81.5,82.5,85.0,84.8,89.0,
1,720.8,158.4,81.0,0.0,4,7700,83.5,84.5,87.0,86.8,88.8,
1,980.5,214.0,90.0,0.0,5,8100,85.3,86.3,88.8,88.6,88.6,
1,1240.7,176.9,85.0,0.0,5,7880,87.0,88.0,90.5,90.3,88.5,
1,1450.3,89.7,0.0,88.0,2,3600,88.6,89.6,92.1,91.9,88.3,
1,1620.6,124.3,62.0,0.0,3,6800,90.1,91.1,93.6,93.4,88.1,
1,1810.4,168.5,83.0,0.0,4,7750,91.5,92.5,95.0,94.8,87.9,74.46
2,0.0,75.2,38.0,0.0,3,6245,87.2,88.2,90.7,90.5,87.7,
2,110.3,142.3,79.0,0.0,5,7595,88.5,89.5,92.0,91.8,87.5,
2,290.6,245.5,93.0,0.0,6,8245,89.6,90.6,93.1,92.9,87.3,
2,480.2,113.3,0.0,82.0,3,3995,90.7,91.7,94.2,94.0,87.1,
2,720.8,159.4,81.0,0.0,4,7745,91.7,92.7,95.2,95.0,86.9,
2,980.5,215.3,90.0,0.0,5,8145,92.7,93.7,96.2,96.0,86.7,
2,1240.7,178.0,85.0,0.0,5,7925,93.6,94.6,97.1,96.9,86.6,
2,1450.3,90.2,0.0,88.0,2,3645,94.5,95.5,98.0,97.8,86.4,
2,1620.6,125.0,62.0,0.0,3,6845,95.3,96.3,98.8,98.6,86.2,
2,1810.4,169.5,83.0,0.0,4,7795,96.1,97.1,99.6,99.4,86.0,73.44
3,0.0,75.7,38.0,0.0,3,6290,91.4,92.4,94.9,94.7,85.8,
3,110.3,143.2,79.0,0.0,5,7640,92.2,93.2,95.7,95.5,85.6,
3,290.6,246.9,93.0,0.0,6,8290,93.0,94.0,96.5,96.3,85.4,
3,480.2,114.0,0.0,82.0,3,4040,93.7,94.7,97.2,97.0,85.2,
3,720.8,160.3,81.0,0.0,4,7790,94.4,95.4,97.9,97.7,85.0,
3,980.5,216.6,90.0,0.0,5,8190,95.1,96.1,98.6,98.4,84.8,
3,1240.7,179.0,85.0,0.0,5,7970,95.7,96.7,99.2,99.0,84.7,
3,1450.3,90.8,0.0,88.0,2,3690,96.4,97.4,99.9,99.7,84.5,
3,1620.6,125.8,62.0,0.0,3,6890,97.1,98.1,100.6,100.4,84.3,
3,1810.4,170.5,83.0,0.0,4,7840,97.7,98.7,101.2,101.0,84.1,72.50
