Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,85.2,45.0,0.0,3,6500,78.5,79.2,82.1,81.8,88.5,
1,100.5,152.3,85.0,0.0,5,7800,82.3,83.1,85.4,85.1,88.3,
1,250.8,201.5,92.0,0.0,6,8200,85.1,85.8,87.9,87.6,88.1,
1,450.2,287.3,100.0,0.0,7,8500,87.4,88.1,89.5,89.2,87.8,
1,980.5,325.8,100.0,0.0,7,8650,89.2,89.8,91.2,90.9,87.4,
1,1250.3,298.2,0.0,65.0,5,4500,90.1,90.7,92.1,91.8,87.2,
1,1350.8,215.4,0.0,85.0,4,3800,91.5,92.1,93.5,93.2,87.1,
1,1425.2,145.6,35.0,0.0,3,5200,92.8,93.4,94.8,94.5,87.0,
1,1550.5,178.9,75.0,0.0,4,7100,93.2,93.8,95.2,94.9,86.9,
1,1780.3,245.7,95.0,0.0,6,8300,93.8,94.4,95.8,95.5,86.7,218.45
2,0.0,92.1,48.0,0.0,3,6600,94.2,94.8,96.2,95.9,86.5,
2,100.5,158.7,87.0,0.0,5,7900,94.5,95.1,96.5,96.2,86.3,
2,250.8,205.3,93.0,0.0,6,8250,94.8,95.4,96.8,96.5,86.1,
2,450.2,291.8,100.0,0.0,7,8550,95.1,95.7,97.1,96.8,85.8,
2,980.5,328.4,100.0,0.0,7,8700,95.4,96.0,97.4,97.1,85.4,
2,1250.3,302.1,0.0,63.0,5,4600,95.7,96.3,97.7,97.4,85.2,
2,1350.8,218.9,0.0,82.0,4,3900,96.1,96.7,98.1,97.8,85.1,
2,1425.2,148.2,37.0,0.0,3,5300,96.4,97.0,98.4,98.1,85.0,
2,1550.5,182.4,77.0,0.0,4,7200,96.7,97.3,98.7,98.4,84.9,
2,1780.3,249.3,96.0,0.0,6,8350,97.0,97.6,99.0,98.7,84.7,216.82
3,0.0,94.5,50.0,0.0,3,6650,97.3,97.9,99.3,99.0,84.5,
3,100.5,161.2,88.0,0.0,5,7950,97.5,98.1,99.5,99.2,84.3,
3,250.8,208.1,94.0,0.0,6,8280,97.8,98.4,99.8,99.5,84.1,
3,450.2,294.5,100.0,0.0,7,8580,98.1,98.7,100.1,99.8,83.8,
3,980.5,330.2,100.0,0.0,7,8720,98.4,99.0,100.4,100.1,83.4,
3,1250.3,304.8,0.0,62.0,5,4650,98.7,99.3,100.7,100.4,83.2,
3,1350.8,221.3,0.0,81.0,4,3950,99.0,99.6,101.0,100.7,83.1,
3,1425.2,150.1,38.0,0.0,3,5350,99.2,99.8,101.2,100.9,83.0,
3,1550.5,184.8,78.0,0.0,4,7250,99.5,100.1,101.5,101.2,82.9,
3,1780.3,251.7,97.0,0.0,6,8380,99.8,100.4,101.8,101.5,82.7,215.34
