Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,88.5,48.0,0.0,3,6550,72.3,73.1,75.8,75.5,90.0,
1,150.8,175.4,88.0,0.0,5,7950,76.2,77.0,79.7,79.4,89.8,
1,350.2,248.7,96.0,0.0,6,8400,80.1,80.9,83.6,83.3,89.5,
1,650.5,310.2,100.0,0.0,7,8650,83.5,84.3,87.0,86.7,89.2,
1,1050.3,338.9,100.0,0.0,7,8750,86.4,87.2,89.9,89.6,88.8,
1,1450.8,285.1,0.0,70.0,5,4200,88.7,89.5,92.2,91.9,88.6,
1,1580.2,195.3,0.0,88.0,4,3400,90.5,91.3,94.0,93.7,88.5,
1,1680.5,128.7,30.0,0.0,3,5100,92.1,92.9,95.6,95.3,88.4,
1,1850.3,212.8,82.0,0.0,5,7850,93.2,94.0,96.7,96.4,88.2,
1,2050.7,298.5,98.0,0.0,6,8500,94.1,94.9,97.6,97.3,88.0,98.08
2,0.0,92.3,50.0,0.0,3,6600,94.8,95.6,98.3,98.0,87.8,
2,150.8,180.2,89.0,0.0,5,8000,95.3,96.1,98.8,98.5,87.6,
2,350.2,253.4,97.0,0.0,6,8430,95.9,96.7,99.4,99.1,87.3,
2,650.5,315.7,100.0,0.0,7,8680,96.4,97.2,99.9,99.6,86.9,
2,1050.3,343.2,100.0,0.0,7,8780,96.9,97.7,100.4,100.1,86.5,
2,1450.8,290.3,0.0,68.0,5,4300,97.3,98.1,100.8,100.5,86.3,
2,1580.2,199.7,0.0,85.0,4,3500,97.8,98.6,101.3,101.0,86.2,
2,1680.5,132.1,32.0,0.0,3,5200,98.2,99.0,101.7,101.4,86.1,
2,1850.3,217.4,84.0,0.0,5,7900,98.6,99.4,102.1,101.8,85.9,
2,2050.7,303.8,99.0,0.0,6,8530,99.0,99.8,102.5,102.2,85.7,96.74
3,0.0,94.8,51.0,0.0,3,6630,99.3,100.1,102.8,102.5,85.5,
3,150.8,183.5,90.0,0.0,5,8030,99.6,100.4,103.1,102.8,85.3,
3,350.2,256.9,98.0,0.0,6,8450,99.9,100.7,103.4,103.1,85.0,
3,650.5,319.8,100.0,0.0,7,8700,100.2,101.0,103.7,103.4,84.6,
3,1050.3,346.1,100.0,0.0,7,8800,100.5,101.3,104.0,103.7,84.2,
3,1450.8,294.2,0.0,67.0,5,4350,100.8,101.6,104.3,104.0,84.0,
3,1580.2,202.8,0.0,84.0,4,3550,101.1,101.9,104.6,104.3,83.9,
3,1680.5,134.7,33.0,0.0,3,5250,101.4,102.2,104.9,104.6,83.8,
3,1850.3,220.9,85.0,0.0,5,7930,101.6,102.4,105.1,104.8,83.6,
3,2050.7,307.5,100.0,0.0,6,8550,101.9,102.7,105.4,105.1,83.4,95.50
