Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,82.3,44.0,0.0,3,6350,74.5,75.5,78.0,77.8,89.6,
1,980.5,152.7,80.0,0.0,5,7650,77.0,78.0,80.5,80.3,88.8,
1,2450.8,99.4,0.0,84.0,3,4000,79.4,80.4,82.9,82.7,87.9,
1,5120.3,168.9,78.0,0.0,5,7800,81.5,82.5,85.0,84.8,87.0,
1,8340.6,246.0,96.0,0.0,6,8350,83.5,84.5,87.0,86.8,86.2,
1,11260.2,87.5,28.0,0.0,2,5200,85.3,86.3,88.8,88.6,85.3,
1,14580.9,196.3,86.0,0.0,5,8050,87.0,88.0,90.5,90.3,84.5,
1,18240.4,121.8,0.0,78.0,3,4300,88.6,89.6,92.1,91.9,83.6,
1,20950.7,331.0,100.0,0.0,7,8700,90.1,91.1,93.6,93.4,82.8,
1,23880.2,272.0,98.0,0.0,6,8400,91.5,92.5,95.0,94.8,81.9,445.20
2,0.0,82.8,44.0,0.0,3,6395,87.2,88.2,90.7,90.5,81.1,
2,980.5,153.6,80.0,0.0,5,7695,88.5,89.5,92.0,91.8,80.2,
2,2450.8,100.0,0.0,84.0,3,4045,89.6,90.6,93.1,92.9,79.4,
2,5120.3,169.9,78.0,0.0,5,7845,90.7,91.7,94.2,94.0,78.5,
2,8340.6,247.5,96.0,0.0,6,8395,91.7,92.7,95.2,95.0,77.7,
2,11260.2,88.0,28.0,0.0,2,5245,92.7,93.7,96.2,96.0,76.8,
2,14580.9,197.5,86.0,0.0,5,8095,93.6,94.6,97.1,96.9,76.0,
2,18240.4,122.5,0.0,78.0,3,4345,94.5,95.5,98.0,97.8,75.1,
2,20950.7,333.0,100.0,0.0,7,8745,95.3,96.3,98.8,98.6,74.3,
2,23880.2,273.6,98.0,0.0,6,8445,96.1,97.1,99.6,99.4,73.4,439.14
3,0.0,83.3,44.0,0.0,3,6440,91.4,92.4,94.9,94.7,72.6,
3,980.5,154.5,80.0,0.0,5,7740,92.2,93.2,95.7,95.5,71.8,
3,2450.8,100.6,0.0,84.0,3,4090,93.0,94.0,96.5,96.3,70.9,
3,5120.3,170.9,78.0,0.0,5,7890,93.7,94.7,97.2,97.0,70.0,
3,8340.6,249.0,96.0,0.0,6,8440,94.4,95.4,97.9,97.7,69.2,
3,11260.2,88.5,28.0,0.0,2,5290,95.1,96.1,98.6,98.4,68.3,
3,14580.9,198.7,86.0,0.0,5,8140,95.7,96.7,99.2,99.0,67.5,
3,18240.4,123.3,0.0,78.0,3,4390,96.4,97.4,99.9,99.7,66.6,
3,20950.7,335.0,100.0,0.0,7,8790,97.1,98.1,100.6,100.4,65.8,
3,23880.2,275.3,98.0,0.0,6,8490,97.7,98.7,101.2,101.0,64.9,433.50
