Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,79.5,42.0,0.0,3,6300,74.5,75.5,78.0,77.8,89.6,
1,125.4,148.2,82.0,0.0,5,7600,77.0,78.0,80.5,80.3,89.4,
1,310.8,221.6,94.0,0.0,6,8250,79.4,80.4,82.9,82.7,89.2,
1,520.5,118.4,0.0,86.0,3,3900,81.5,82.5,85.0,84.8,89.0,
1,760.2,96.7,34.0,0.0,3,5400,83.5,84.5,87.0,86.8,88.8,
1,1050.6,189.3,88.0,0.0,5,7900,85.3,86.3,88.8,88.6,88.6,
1,1380.4,262.0,98.0,0.0,6,8450,87.0,88.0,90.5,90.3,88.5,
1,1620.9,288.0,100.0,0.0,7,8600,88.6,89.6,92.1,91.9,88.3,
1,1770.3,142.6,0.0,82.0,4,4100,90.1,91.1,93.6,93.4,88.1,
1,1955.7,205.4,90.0,0.0,5,8000,91.5,92.5,95.0,94.8,87.9,103.21
2,0.0,80.0,42.0,0.0,3,6345,87.2,88.2,90.7,90.5,87.7,
2,125.4,149.1,82.0,0.0,5,7645,88.5,89.5,92.0,91.8,87.5,
2,310.8,222.9,94.0,0.0,6,8295,89.6,90.6,93.1,92.9,87.3,
2,520.5,119.1,0.0,86.0,3,3945,90.7,91.7,94.2,94.0,87.1,
2,760.2,97.3,34.0,0.0,3,5445,91.7,92.7,95.2,95.0,86.9,
2,1050.6,190.4,88.0,0.0,5,7945,92.7,93.7,96.2,96.0,86.7,
2,1380.4,263.6,98.0,0.0,6,8495,93.6,94.6,97.1,96.9,86.6,
2,1620.9,289.7,100.0,0.0,7,8645,94.5,95.5,98.0,97.8,86.4,
2,1770.3,143.5,0.0,82.0,4,4145,95.3,96.3,98.8,98.6,86.2,
2,1955.7,206.6,90.0,0.0,5,8045,96.1,97.1,99.6,99.4,86.0,101.81
3,0.0,80.5,42.0,0.0,3,6390,91.4,92.4,94.9,94.7,85.8,
3,125.4,150.0,82.0,0.0,5,7690,92.2,93.2,95.7,95.5,85.6,
3,310.8,224.3,94.0,0.0,6,8340,93.0,94.0,96.5,96.3,85.4,
3,520.5,119.8,0.0,86.0,3,3990,93.7,94.7,97.2,97.0,85.2,
3,760.2,97.9,34.0,0.0,3,5490,94.4,95.4,97.9,97.7,85.0,
3,1050.6,191.6,88.0,0.0,5,7990,95.1,96.1,98.6,98.4,84.8,
3,1380.4,265.1,98.0,0.0,6,8540,95.7,96.7,99.2,99.0,84.7,
3,1620.9,291.5,100.0,0.0,7,8690,96.4,97.4,99.9,99.7,84.5,
3,1770.3,144.3,0.0,82.0,4,4190,97.1,98.1,100.6,100.4,84.3,
3,1955.7,207.9,90.0,0.0,5,8090,97.7,98.7,101.2,101.0,84.1,100.50
