Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,74.6,39.0,0.0,3,6200,73.9,74.8,77.1,76.8,90.0,
1,118.2,140.8,79.0,0.0,5,7520,77.6,78.5,80.9,80.6,89.8,
1,275.6,191.9,88.0,0.0,6,7980,80.7,81.6,84.0,83.7,89.6,
1,510.4,255.7,100.0,0.0,7,8350,83.4,84.3,86.7,86.4,89.3,
1,742.1,139.6,0.0,76.0,4,3400,85.9,86.8,89.2,88.9,89.2,
1,842.6,93.4,23.0,0.0,2,4700,87.2,88.1,90.5,90.2,89.1,
1,941.8,148.9,66.0,0.0,4,6820,88.4,89.3,91.7,91.4,89.0,
1,1138.9,210.5,90.0,0.0,6,8120,89.5,90.4,92.8,92.5,88.8,
1,1335.7,174.9,0.0,69.0,5,5140,90.8,91.7,94.1,93.8,88.7,
1,1488.3,239.6,93.0,0.0,6,8230,91.6,92.5,94.9,94.6,88.5,128.47
2,0.0,78.2,41.0,0.0,3,6250,92.3,93.2,95.6,95.3,88.3,
2,118.2,143.7,80.0,0.0,5,7570,92.7,93.6,96.0,95.7,88.1,
2,275.6,195.6,89.0,0.0,6,8030,93.1,94.0,96.4,96.1,87.9,
2,510.4,259.8,100.0,0.0,7,8390,93.5,94.4,96.8,96.5,87.6,
2,742.1,142.8,0.0,74.0,4,3490,93.9,94.8,97.2,96.9,87.5,
2,842.6,96.1,25.0,0.0,2,4790,94.3,95.2,97.6,97.3,87.4,
2,941.8,151.7,68.0,0.0,4,6890,94.6,95.5,97.9,97.6,87.3,
2,1138.9,214.2,91.0,0.0,6,8160,95.0,95.9,98.3,98.0,87.1,
2,1335.7,178.3,0.0,67.0,5,5190,95.4,96.3,98.7,98.4,87.0,
2,1488.3,243.1,94.0,0.0,6,8260,95.8,96.7,99.1,98.8,86.8,126.92
3,0.0,80.9,42.0,0.0,3,6290,96.1,97.0,99.4,99.1,86.6,
3,118.2,146.2,81.0,0.0,5,7600,96.4,97.3,99.7,99.4,86.4,
3,275.6,198.3,90.0,0.0,6,8060,96.7,97.6,100.0,99.7,86.2,
3,510.4,262.4,100.0,0.0,7,8420,97.0,97.9,100.3,100.0,85.9,
3,742.1,145.3,0.0,73.0,4,3530,97.3,98.2,100.6,100.3,85.8,
3,842.6,97.9,26.0,0.0,2,4820,97.6,98.5,100.9,100.6,85.7,
3,941.8,154.4,69.0,0.0,4,6920,97.9,98.8,101.2,100.9,85.6,
3,1138.9,216.7,92.0,0.0,6,8180,98.2,99.1,101.5,101.2,85.4,
3,1335.7,180.6,0.0,66.0,5,5220,98.5,99.4,101.8,101.5,85.3,
3,1488.3,245.8,95.0,0.0,6,8290,98.8,99.7,102.1,101.8,85.1,125.66
