Lap,Distance,Speed,Throttle,Brake,Gear,RPM,TireTemp_FL,TireTemp_FR,TireTemp_RL,TireTemp_RR,FuelRemaining,LapTime
1,0.0,91.2,50.0,0.0,3,6600,74.5,75.5,78.0,77.8,89.6,
1,140.6,172.4,87.0,0.0,5,7950,77.0,78.0,80.5,80.3,89.4,
1,380.2,263.0,97.0,0.0,6,8480,79.4,80.4,82.9,82.7,89.2,
1,720.8,300.0,100.0,0.0,7,8650,81.5,82.5,85.0,84.8,89.0,
1,1150.5,134.7,0.0,80.0,4,4200,83.5,84.5,87.0,86.8,88.8,
1,1420.3,176.8,84.0,0.0,5,7850,85.3,86.3,88.8,88.6,88.6,
1,1690.7,248.2,96.0,0.0,6,8420,87.0,88.0,90.5,90.3,88.5,
1,1980.4,231.5,92.0,0.0,6,8300,88.6,89.6,92.1,91.9,88.3,
1,2210.6,148.9,0.0,74.0,4,4500,90.1,91.1,93.6,93.4,88.1,
1,2440.9,198.6,89.0,0.0,5,8000,91.5,92.5,95.0,94.8,87.9,104.24
2,0.0,91.7,50.0,0.0,3,6645,87.2,88.2,90.7,90.5,87.7,
2,140.6,173.4,87.0,0.0,5,7995,88.5,89.5,92.0,91.8,87.5,
2,380.2,264.6,97.0,0.0,6,8525,89.6,90.6,93.1,92.9,87.3,
2,720.8,301.8,100.0,0.0,7,8695,90.7,91.7,94.2,94.0,87.1,
2,1150.5,135.5,0.0,80.0,4,4245,91.7,92.7,95.2,95.0,86.9,
2,1420.3,177.9,84.0,0.0,5,7895,92.7,93.7,96.2,96.0,86.7,
2,1690.7,249.7,96.0,0.0,6,8465,93.6,94.6,97.1,96.9,86.6,
2,1980.4,232.9,92.0,0.0,6,8345,94.5,95.5,98.0,97.8,86.4,
2,2210.6,149.8,0.0,74.0,4,4545,95.3,96.3,98.8,98.6,86.2,
2,2440.9,199.8,89.0,0.0,5,8045,96.1,97.1,99.6,99.4,86.0,102.82
3,0.0,92.3,50.0,0.0,3,6690,91.4,92.4,94.9,94.7,85.8,
3,140.6,174.5,87.0,0.0,5,8040,92.2,93.2,95.7,95.5,85.6,
3,380.2,266.2,97.0,0.0,6,8570,93.0,94.0,96.5,96.3,85.4,
3,720.8,303.6,100.0,0.0,7,8740,93.7,94.7,97.2,97.0,85.2,
3,1150.5,136.3,0.0,80.0,4,4290,94.4,95.4,97.9,97.7,85.0,
3,1420.3,178.9,84.0,0.0,5,7940,95.1,96.1,98.6,98.4,84.8,
3,1690.7,251.2,96.0,0.0,6,8510,95.7,96.7,99.2,99.0,84.7,
3,1980.4,234.3,92.0,0.0,6,8390,96.4,97.4,99.9,99.7,84.5,
3,2210.6,150.7,0.0,74.0,4,4590,97.1,98.1,100.6,100.4,84.3,
3,2440.9,201.0,89.0,0.0,5,8090,97.7,98.7,101.2,101.0,84.1,101.50
